"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MRPL12",8.10517868055811e-65,-0.39362228246167,0.569,0.229,3.09812349885653e-60
"NDUFB9",1.28058899449606e-64,0.0358260541623081,0.611,0.274,4.89492337256173e-60
"SPINK1",4.55544850975304e-64,-0.0214308662068892,0.551,0.231,1.741274638368e-59
"TKT",6.3327531752912e-64,-0.098417346286661,0.628,0.273,2.42063157372331e-59
"TCEA1",8.91052925170176e-64,-0.222209635144618,0.62,0.262,3.40596070117048e-59
"EIF3F",2.35801133399994e-63,-0.337961162089968,0.605,0.253,9.01326252308136e-59
"NSA2",3.69006876681877e-63,-0.422668668877139,0.637,0.266,1.41049188542881e-58
"HLA-C",3.70524574110562e-63,0.265659685554662,0.799,0.414,1.41629313208021e-58
"CST3",4.72922325065356e-63,0.341590987466187,0.782,0.464,1.80769829532982e-58
"HMGN1",6.09236186258263e-63,0.051388235693415,0.774,0.37,2.32874439835358e-58
"SLIRP",8.33375863326528e-63,-0.492874085618899,0.571,0.23,3.18549589997932e-58
"SSBP1",1.62785419133298e-62,-0.22205572866054,0.616,0.259,6.22230986095117e-58
"SELENOW",1.20611647776833e-61,0.294574964318256,0.741,0.386,4.61025962462167e-57
"YWHAZ",1.94964938764706e-61,0.249862255751956,0.848,0.476,7.45233981934211e-57
"TM4SF5",3.75440268483161e-61,-0.376873792827533,0.256,0.068,1.43508288225004e-56
"POLD4",3.85809574839017e-61,0.0186762658534386,0.277,0.082,1.47471851886466e-56
"AURKAIP1",4.611627772506e-61,-0.305197305962196,0.668,0.294,1.76274859976269e-56
"PSMB3",5.82614951528524e-61,-0.411315072952366,0.612,0.257,2.22698739072263e-56
"CCT6A",1.14613983431813e-60,-0.0698497268874221,0.625,0.278,4.38100490269761e-56
"TALDO1",1.75040836922485e-60,-0.318386062462005,0.614,0.26,6.69076095052506e-56
"DYNLRB1",2.91022255897317e-60,-0.0971818871904717,0.632,0.279,1.1124034709419e-55
"C8orf59",3.10313173268257e-60,0.244296707098238,0.464,0.19,1.18614107350059e-55
"HNRNPA3",5.31347813357501e-60,-0.0163240369541287,0.748,0.358,2.03102388177771e-55
"LSM7",6.66578656732869e-60,-0.123740834201735,0.679,0.31,2.54793025749572e-55
"MARCKSL1",1.02775570242277e-59,0.221019542359624,0.787,0.411,3.92849339694081e-55
"RNASE1",1.16067123272099e-59,-0.822914255714872,0.438,0.166,4.43654971995273e-55
"PA2G4",1.91163196903946e-59,-0.069371575588316,0.666,0.299,7.30702203845644e-55
"TMEM258",2.00467306121811e-59,-0.230047042972382,0.648,0.285,7.66266230920011e-55
"NDUFB4",5.49675041036878e-59,-0.191725730048854,0.647,0.287,2.10107787685936e-54
"NDUFA3",8.47004712474388e-59,-0.628845409227953,0.624,0.261,3.2375908129621e-54
"IL32",9.62825692936841e-59,-0.0795292253595672,0.725,0.339,3.68030492868178e-54
"PIGR",1.02988549337969e-58,0.421645266833985,0.654,0.353,3.93663430989452e-54
"CRIP1",1.04793953501912e-58,-0.0510560089709202,0.697,0.325,4.00564407865707e-54
"PTTG1",1.12070540693738e-58,-0.189400283127939,0.284,0.086,4.28378434747743e-54
"VDAC1",1.15029243418875e-58,-0.217475048071964,0.686,0.306,4.39687780044308e-54
"LSM5",2.16047973935009e-58,-0.512646543342635,0.572,0.241,8.2582177556918e-54
"CCT3",5.65581688245668e-58,-0.245759617007507,0.637,0.281,2.16187944515024e-53
"SERPINA1",2.80118704526685e-57,-0.534532095340514,0.318,0.106,1.0707257361828e-52
"SNRPE",3.92266904861889e-57,-0.253980601281848,0.581,0.251,1.49940101714409e-52
"RANBP1",4.07344844359786e-57,-0.360241702129937,0.567,0.242,1.55703493308085e-52
"UBB",2.1753404248601e-56,0.334736848276787,0.853,0.486,8.31502123998523e-52
"COX17",2.59625521939459e-56,-0.598653347620808,0.608,0.256,9.92392595061389e-52
"PCCA",3.06110549667356e-56,-0.464235398950192,0.344,0.122,1.1700769650485e-51
"MT1G",8.20857645290579e-56,-0.255850011336815,0.319,0.108,3.13764626335871e-51
